GOOGLE.COM

                         MX     aspmx.l.google.com
pub-1415340862095255.afd.ghs  A      172.217.0.51
pub-1437617425992336.afd.ghs  A      216.58.194.179
pub-1458143688166470.afd.ghs  AAAA   2607:f8b0:4006:81a::2013
pub-1525816709832820.afd.ghs  A      172.217.12.147
pub-1532921241499392.afd.ghs  A      216.58.194.211
pub-1532921241499392.afd.ghs  AAAA   2607:f8b0:4005:805::2013
pub-1547000165014494.afd.ghs  AAAA   2607:f8b0:4005:802::2013
pub-1552501342652672.afd.ghs  A      74.125.195.121
pub-1556552103229012.afd.ghs  A      172.217.10.243
pub-1558938788838145.afd.ghs  A      172.217.7.19
pub-1575594168855905.afd.ghs  AAAA   2607:f8b0:400e:c07::79
pub-1598620038629285.afd.ghs  A      172.217.12.179
pub-1621892713325797.afd.ghs  A      172.217.10.51
pub-1637825308920112.afd.ghs  A      216.58.194.211
pub-1651021562281833.afd.ghs  A      172.217.164.115
pub-1668929565289709.afd.ghs  AAAA   2607:f8b0:4006:81b::2013
pub-1668929565289709.afd.ghs  AAAA   2607:f8b0:4005:804::2013
pub-1669503027866425.afd.ghs  A      172.217.5.115
pub-1696894247536224.afd.ghs  AAAA   2607:f8b0:4006:81a::2013
pub-1722697508815852.afd.ghs  AAAA   2607:f8b0:4005:805::2013
pub-1723587912472813.afd.ghs  A      172.217.12.147
pub-1737492348883227.afd.ghs  A      172.217.12.211
pub-1788065527502344.afd.ghs  A      172.217.10.19
pub-1831111077810086.afd.ghs  A      216.58.194.211
pub-1836142912900937.afd.ghs  A      172.217.11.19
pub-1875876810644824.afd.ghs  A      172.217.12.179
pub-2037306787243962.afd.ghs  A      172.217.11.51
pub-2089164512377804.afd.ghs  A      172.217.12.211
pub-2104109838166633.afd.ghs  A      172.217.7.19
pub-2106247315791079.afd.ghs  AAAA   2607:f8b0:4006:814::2013
pub-2141042560528692.afd.ghs  A      216.58.194.179
pub-2266926507934157.afd.ghs  A      172.217.10.51
pub-2266926507934157.afd.ghs  A      172.217.10.243
pub-2287104070778933.afd.ghs  A      172.217.10.19
pub-2292460899399769.afd.ghs  AAAA   2607:f8b0:4006:803::2013
pub-2296430299106329.afd.ghs  AAAA   2607:f8b0:4006:810::2013
pub-2358157201209121.afd.ghs  AAAA   2607:f8b0:4005:80b::2013
pub-2368307510685685.afd.ghs  A      216.58.194.211
pub-2380227714804367.afd.ghs  A      74.125.142.121
pub-2380227714804367.afd.ghs  A      172.217.10.147
pub-2405163232499227.afd.ghs  AAAA   2607:f8b0:4006:800::2013
pub-2458713578651988.afd.ghs  A      172.217.7.19
pub-2458713578651988.afd.ghs  A      216.58.194.179
pub-2512360925265295.afd.ghs  AAAA   2607:f8b0:4006:814::2013
pub-2559021938389602.afd.ghs  A      172.217.164.115
pub-2586212242061927.afd.ghs  A      172.217.10.51
pub-2612763968070453.afd.ghs  A      142.250.64.115
pub-2612763968070453.afd.ghs  AAAA   2607:f8b0:4006:813::2013
pub-2613154428159660.afd.ghs  AAAA   2607:f8b0:4006:81b::2013
pub-2621789475083424.afd.ghs  AAAA   2607:f8b0:4006:810::2013
pub-2632822113674824.afd.ghs  AAAA   2607:f8b0:4006:803::2013
pub-2654271606860217.afd.ghs  A      172.217.5.115
pub-2685293539960528.afd.ghs  A      172.217.0.51
pub-2714715400334424.afd.ghs  A      172.217.6.51
pub-2736196797301391.afd.ghs  A      172.217.10.243
pub-2736196797301391.afd.ghs  AAAA   2607:f8b0:4006:800::2013
pub-2753007271717945.afd.ghs  AAAA   2607:f8b0:4006:819::2013
pub-2753007271717945.afd.ghs  AAAA   2607:f8b0:4005:804::2013
pub-2808681695950520.afd.ghs  AAAA   2607:f8b0:4006:815::2013
pub-2820809080929217.afd.ghs  A      172.217.6.51
pub-2823099730894079.afd.ghs  AAAA   2607:f8b0:4006:801::2013
pub-2836011641834483.afd.ghs  AAAA   2607:f8b0:4005:809::2013
pub-2845397366929762.afd.ghs  A      172.217.10.115
pub-2875636009194501.afd.ghs  A      172.217.6.211
pub-2876535135844684.afd.ghs  AAAA   2607:f8b0:400e:c07::79
pub-2911997839133131.afd.ghs  A      74.125.142.121
pub-2946668900934741.afd.ghs  A      216.58.194.211
